YEAR,BUYING_DEALER,TOKEN_DONE,SUM_BID_AT_BOUGHT,AVG_BID_AT_BOUGHT,RECENT_BUY_DATE
2019,60077,48,8912621,185679.6,2019-12-31
2020,55464,14,3599700,257121.4,2020-10-31
2021,66699,49,12259323,250190.3,2021-12-31
2021,61584,25,11267133,450685.3,2021-11-17
2022,109989,10,3343120,334312.0,2022-05-22
2020,80785,3,950000,316666.7,2020-09-20
2019,59936,55,5831962,106035.7,2019-12-14
2019,65181,3,754000,251333.3,2019-08-02
2018,55346,89,9579735,107637.5,2018-12-29
2023,74122,31,3367992,108644.9,2023-12-10
2021,57542,14,4186849,299060.6,2021-11-25
2019,69139,2,519716,259858.0,2019-12-13
2022,103238,3,1139089,379696.3,2022-11-24
2023,60929,33,7220015,218788.3,2023-12-31
2022,62896,23,7718846,335602.0,2022-12-13
2020,57754,10,2090844,209084.4,2020-11-20
2020,69161,40,26827278,670682.0,2020-12-29
2021,100512,28,3009600,107485.7,2021-10-29
2019,53065,18,7523420,417967.8,2019-12-16
2021,109405,1,264136,264136.0,2021-12-30
2022,103596,11,4808835,437166.8,2022-12-11
2021,88067,73,11981094,164124.6,2021-10-12
2023,115256,34,8678050,255236.8,2023-07-21
2019,61177,31,7999870,258060.3,2019-12-05
2023,57173,36,8400888,233358.0,2023-12-08
2021,66539,42,3900374,92866.0,2021-12-26
2019,66414,2,819000,409500.0,2019-07-27
2020,79371,11,1664624,151329.5,2020-12-15
2022,100846,10,380188,38018.8,2022-12-08
2024,124506,7,5007009,715287.0,2024-04-17
2024,90776,6,816600,136100.0,2024-04-21
2023,76323,5,1012249,202449.8,2023-12-26
2023,57281,21,7560412,360019.6,2023-12-06
2023,93930,19,1932083,101688.6,2023-12-26
2020,63194,98,33307298,339870.4,2020-12-21
2022,84030,40,17724620,443115.5,2022-12-27
2023,68626,13,2504790,192676.2,2023-12-15
2022,59539,95,30401673,320017.6,2022-12-18
2021,71230,48,20547251,428067.7,2021-12-20
2022,74022,18,5232432,290690.7,2022-10-18
2022,68393,1,67969,67969.0,2022-09-10
2023,100378,7,2643996,377713.7,2023-09-20
2022,69085,22,731270,33239.5,2022-09-03
2020,59957,22,8442817,383764.4,2020-12-27
2021,64176,223,77438241,347256.7,2021-12-30
2018,54824,39,8311499,213115.4,2018-11-24
2023,66192,81,22836291,281929.5,2023-12-17
2023,58725,14,5194314,371022.4,2023-12-20
2021,12951,1,366000,366000.0,2021-02-06
2019,60676,21,4576250,217916.7,2019-12-30
2021,59736,21,6526328,310777.5,2021-12-09
2019,57402,163,41686494,255745.4,2019-12-31
2018,26989,83,21561035,259771.5,2018-12-30
2021,54614,9,1499400,166600.0,2021-11-20
2022,69065,4,216700,54175.0,2022-03-07
2020,69074,16,6567413,410463.3,2020-12-16
2019,62442,32,4805000,150156.3,2019-12-18
2020,54570,40,8354068,208851.7,2020-12-20
2020,69544,29,783563,27019.4,2020-12-30
2021,72800,29,4345635,149849.5,2021-11-29
2022,89659,21,1484804,70705.0,2022-10-27
2020,72401,16,3325264,207829.0,2020-12-28
2018,57975,11,1905000,173181.8,2018-12-05
2021,102967,3,838105,279368.3,2021-12-09
2020,64253,18,4845359,269186.6,2020-12-25
2020,58315,1,168000,168000.0,2020-02-25
2020,70322,13,1982703,152515.6,2020-12-30
2023,82916,14,1773149,126653.5,2023-12-20
2022,81741,13,11855772,911982.5,2022-12-21
2022,70052,11,5994659,544969.0,2022-12-17
2019,60107,16,4419915,276244.7,2019-04-21
2024,94411,10,1299100,129910.0,2024-04-30
2021,62360,6,1874000,312333.3,2021-12-01
2024,122509,18,4338800,241044.4,2024-05-11
2020,66790,15,4021369,268091.3,2020-10-08
2020,58986,3,438043,146014.3,2020-08-29
2021,68963,18,1503528,83529.3,2021-12-07
2022,113099,9,2580320,286702.2,2022-12-23
2020,72206,1,35155,35155.0,2020-02-27
2020,57702,52,13819078,265751.5,2020-08-02
2020,58556,17,1813551,106679.5,2020-12-12
2022,100879,24,5029311,209554.6,2022-12-28
2023,110568,42,13113042,312215.3,2023-12-27
2022,91315,20,5831497,291574.9,2022-11-27
2024,121909,15,5574500,371633.3,2024-05-13
2024,118935,41,26782785,653238.7,2024-04-29
2020,65560,13,5723047,440234.4,2020-12-27
2017,54824,52,10758736,206898.8,2017-12-31
2024,108360,7,1744400,249200.0,2024-04-24
2022,99755,31,6943510,223984.2,2022-12-11
2022,69770,122,65717001,538663.9,2022-12-31
2021,98225,11,514068,46733.5,2021-12-24
